trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
1,41.3168,-56966.9863,-56925.6695,56968.9204,43.2509,0.3001,43.5510,0.3668,275,0.0167,-275,0.0196,1;0;0,0,43.1722,1.0,469.0,-162.0,1,0
2,43.9178,-56969.5874,-56925.6695,56970.0876,44.4180,0.3001,44.7182,0.3668,-275,0.2,275,0.75,0;0.5;0,1,44.3311,1.0,471.0,-176.0,1,1
3,45.0850,-56970.7545,-56925.6695,56971.3381,45.6686,0.3001,45.9687,0.3668,275,0.2,-275,0.2235,0;0.5;0,0,45.5900,0.0,-414.0,-142.0,1,1
4,46.3355,-56972.0050,-56925.6695,56972.4719,46.8023,0.3001,47.1025,0.3668,275,0.0088,-275,0.0759,0;0.5;0,0,46.7155,0.0,-439.0,-139.0,1,1
5,47.4693,-56973.1388,-56925.6695,56974.6728,49.0032,0.3001,49.3034,0.3668,-275,0,275,0.001,1;0;0,1,48.9246,0.0,-423.0,-140.0,1,0
6,49.6702,-56975.3397,-56925.6695,56977.2238,51.5543,0.3001,51.8544,0.3668,275,0.0088,-275,0.017,0;0.5;0,0,51.4757,0.0,-422.0,-138.0,1,1
7,52.2212,-56977.8907,-56925.6695,56978.9412,53.2716,0.3001,53.5718,0.3668,275,0.45,-275,0.5171,1;0;0,0,53.1846,1.0,453.0,-169.0,1,0
8,53.9386,-56979.6081,-56925.6695,56983.4430,57.7735,0.3001,58.0736,0.3668,275,0.0088,-275,0.0117,1;0;0,0,57.6949,1.0,512.0,-167.0,1,0
9,58.4404,-56984.1099,-56925.6695,56984.7769,59.1073,0.3001,59.4075,0.3668,-275,0,275,0.1921,0;0.5;0,1,59.0289,1.0,511.0,-159.0,1,1
10,59.7743,-56985.4438,-56925.6695,56985.8440,60.1744,0.3001,60.4746,0.3668,275,0.0088,-275,0.0759,0;0.5;0,0,60.0959,0.0,-451.0,-135.0,1,1
11,60.8414,-56986.5109,-56925.6695,56987.1111,61.4416,0.3001,61.7418,0.3668,-275,0.0167,275,0.0402,0;0.5;0,1,61.3631,1.0,504.0,-164.0,1,1
12,62.1086,-56987.7781,-56925.6695,56988.3950,62.7255,0.3001,63.0256,0.3668,-275,0.0088,275,0.0759,0;0.5;0,1,62.6470,1.0,510.0,-161.0,1,1
13,63.3924,-56989.0619,-56925.6695,56990.1791,64.5095,0.3001,64.8097,0.3668,-275,0.05,275,0.0735,1;0;0,1,64.4309,0.0,-468.0,-131.0,1,0
14,65.1765,-56990.8460,-56925.6695,56991.4796,65.8101,0.3001,66.1102,0.3668,275,0.0088,-275,0.2009,0;0.5;0,0,65.7316,0.0,-473.0,-133.0,1,1
15,66.4770,-56992.1465,-56925.6695,56994.2640,68.5945,0.3001,68.8947,0.3668,-275,0,275,0.0029,1;0;0,1,68.5160,0.0,-464.0,-131.0,1,0
16,69.2615,-56994.9310,-56925.6695,56995.6479,69.9784,0.3001,70.2786,0.3668,275,0.0167,-275,0.2088,0;0.5;0,0,69.8914,0.0,-453.0,-138.0,1,1
17,70.6454,-56996.3149,-56925.6695,56996.9318,71.2623,0.3001,71.5624,0.3668,-275,0.0167,275,0.0838,0;0.5;0,1,71.1755,1.0,500.0,-167.0,1,1
18,71.9292,-56997.5987,-56925.6695,56999.2994,73.6299,0.3001,73.9300,0.3668,-275,0.45,275,0.4735,1;0;0,1,73.5515,0.0,-450.0,-136.0,1,0
19,74.2969,-56999.9664,-56925.6695,57002.4340,76.7645,0.3001,77.0646,0.3668,-275,0,275,0.0029,0;0.5;0,1,76.6861,1.0,509.0,-162.0,1,1
20,77.4315,-57003.1010,-56925.6695,57004.0514,78.3818,0.3001,78.6820,0.3668,275,0.2,-275,0.2671,1;0;0,0,78.3034,1.0,490.0,-161.0,1,0
21,79.0488,-57004.7183,-56925.6695,57006.7858,81.1163,0.3001,81.4164,0.3668,275,0.0167,-275,0.0177,0;0.5;0,0,81.0378,0.0,-441.0,-135.0,1,1
22,81.7832,-57007.4527,-56925.6695,57008.2030,82.5335,0.3001,82.8337,0.3668,275,0.05,-275,0.2421,0;0.5;0,0,82.4550,0.0,-444.0,-137.0,1,1
23,83.2005,-57008.8700,-56925.6695,57011.1876,85.5181,0.3001,85.8182,0.3668,-275,0,275,0.001,1;0;0,1,85.4311,0.0,-401.0,-148.0,1,0
24,86.1850,-57011.8545,-56925.6695,57012.3547,86.6852,0.3001,86.9853,0.3668,-275,0.0088,275,0.0759,0;0.5;0,1,86.5984,1.0,477.0,-167.0,1,1
25,87.3522,-57013.0217,-56925.6695,57013.5886,87.9191,0.3001,88.2192,0.3668,275,0.2,-275,0.75,0;0.5;0,0,87.8403,0.0,-426.0,-139.0,1,1
26,88.5860,-57014.2555,-56925.6695,57015.4727,89.8032,0.3001,90.1033,0.3668,275,0.0167,-275,0.0249,0;0.5;0,0,89.7246,0.0,-440.0,-138.0,1,1
27,90.4701,-57016.1396,-56925.6695,57017.6569,91.9874,0.3001,92.2875,0.3668,275,0.45,-275,0.6421,0;0.5;0,0,91.9005,0.0,-399.0,-146.0,1,1
28,92.6543,-57018.3238,-56925.6695,57021.7586,96.0890,0.3001,96.3892,0.3668,275,0.0167,-275,0.0249,0;0.5;0,0,96.0022,0.0,-423.0,-137.0,1,1
29,96.7560,-57022.4255,-56925.6695,57023.3925,97.7230,0.3001,98.0232,0.3668,275,0.05,-275,0.2421,0;0.5;0,0,97.6362,0.0,-430.0,-133.0,1,1
30,98.3900,-57024.0595,-56925.6695,57024.7764,99.1069,0.3001,99.4071,0.3668,275,0.0088,-275,0.2009,0;0.5;0,0,99.0200,0.0,-450.0,-129.0,1,1
31,99.7739,-57025.4434,-56925.6695,57027.5109,101.8414,0.3001,102.1415,0.3668,-275,0.0088,275,0.017,1;0;0,1,101.7628,0.0,-442.0,-131.0,1,0
32,102.5083,-57028.1778,-56925.6695,57029.5117,103.8422,0.3001,104.1423,0.3668,275,0.0167,-275,0.0402,0;0.5;0,0,103.7552,0.0,-405.0,-139.0,1,1
33,104.5091,-57030.1786,-56925.6695,57031.1957,105.5262,0.3001,105.8263,0.3668,275,0.45,-275,0.6421,0;0.5;0,0,105.4476,0.0,-409.0,-139.0,1,1
34,106.1931,-57031.8627,-56925.6695,57033.2299,107.5604,0.3001,107.8605,0.3668,-275,0.0088,275,0.0759,0;0.5;0,1,107.4735,1.0,464.0,-162.0,1,1
35,108.2273,-57033.8968,-56925.6695,57034.8972,109.2277,0.3001,109.5278,0.3668,275,0.0088,-275,0.0117,0;0.5;0,0,109.1408,0.0,-416.0,-137.0,1,1
36,109.8946,-57035.5642,-56925.6695,57036.3978,110.7283,0.3001,111.0284,0.3668,-275,0.0088,275,0.2009,0;0.5;0,1,110.6413,1.0,458.0,-164.0,1,1
37,111.3953,-57037.0648,-56925.6695,57037.6817,112.0122,0.3001,112.3123,0.3668,275,0,-275,0.0235,0;0.5;0,0,111.9253,0.0,-442.0,-131.0,1,1
38,112.6791,-57038.3486,-56925.6695,57039.3657,113.6962,0.3001,113.9963,0.3668,275,0.2,-275,0.2671,1;0;0,0,113.6093,1.0,451.0,-164.0,1,0
39,114.3631,-57040.0326,-56925.6695,57040.6829,115.0134,0.3001,115.3135,0.3668,275,0,-275,0.0671,0;0.5;0,0,114.9266,0.0,-450.0,-132.0,1,1
40,115.6803,-57041.3498,-56925.6695,57042.2002,116.5307,0.3001,116.8308,0.3668,275,0.05,-275,0.2421,0;0.5;0,0,116.4438,0.0,-439.0,-133.0,1,1
41,117.1976,-57042.8671,-56925.6695,57044.2010,118.5315,0.3001,118.8316,0.3668,-275,0.05,275,0.0582,0;0.5;0,1,118.4446,1.0,452.0,-161.0,1,1
42,119.1984,-57044.8679,-56925.6695,57047.6024,121.9329,0.3001,122.2330,0.3668,275,0.0088,-275,0.0117,0;0.5;0,0,121.8460,0.0,-423.0,-136.0,1,1
43,122.5998,-57048.2693,-56925.6695,57049.7199,124.0504,0.3001,124.3505,0.3668,275,0.05,-275,0.1171,0;0.5;0,0,123.9718,0.0,-431.0,-134.0,1,1
44,124.7173,-57050.3868,-56925.6695,57051.0038,125.3342,0.3001,125.6344,0.3668,-275,0,275,0.1921,0;0.5;0,1,125.2474,1.0,465.0,-158.0,1,1
45,126.0012,-57051.6707,-56925.6695,57052.3543,126.6848,0.3001,126.9849,0.3668,275,0.2,-275,0.3921,0;0.5;0,0,126.5980,0.0,-421.0,-139.0,1,1
46,127.3517,-57053.0212,-56925.6695,57054.4552,128.7857,0.3001,129.0858,0.3668,275,0.05,-275,0.1171,0;0.5;0,0,128.7070,0.0,-428.0,-134.0,1,1
47,129.4526,-57055.1221,-56925.6695,57055.9058,130.2362,0.3001,130.5364,0.3668,275,0.2,-275,1,0;0.5;0,0,130.1576,0.0,-437.0,-137.0,1,1
48,130.9032,-57056.5727,-56925.6695,57057.4731,131.8035,0.3001,132.1037,0.3668,275,0.0167,-275,0.0196,1;0;0,0,131.7165,1.0,460.0,-157.0,1,0
49,132.4705,-57058.1400,-56925.6695,57059.3238,133.6543,0.3001,133.9544,0.3668,-275,0.2,275,0.2082,1;0;0,1,133.5674,0.0,-435.0,-133.0,1,0
50,134.3212,-57059.9907,-56925.6695,57060.7244,135.0549,0.3001,135.3550,0.3668,-275,0.05,275,0.0582,0;0.5;0,1,134.9680,1.0,456.0,-159.0,1,1
51,135.7218,-57061.3913,-56925.6695,57062.4584,136.7889,0.3001,137.0890,0.3668,275,0.05,-275,0.0735,1;0;0,0,136.7103,1.0,465.0,-159.0,1,0
52,137.4558,-57063.1254,-56925.6695,57063.7923,138.1228,0.3001,138.4229,0.3668,275,0,-275,0.0235,0;0.5;0,0,138.0442,0.0,-437.0,-133.0,1,1
53,138.7897,-57064.4592,-56925.6695,57066.7768,141.1073,0.3001,141.4074,0.3668,-275,0,275,0.001,1;0;0,1,141.0204,0.0,-406.0,-141.0,1,0
54,141.7743,-57067.4438,-56925.6695,57069.1278,143.4583,0.3001,143.7584,0.3668,-275,0,275,0.0082,0;0.5;0,1,143.3713,1.0,452.0,-159.0,1,1
55,144.1252,-57069.7947,-56925.6695,57070.3616,144.6921,0.3001,144.9922,0.3668,-275,0.05,275,0.6,0;0.5;0,1,144.6135,1.0,453.0,-160.0,1,1
56,145.3590,-57071.0286,-56925.6695,57071.6788,146.0093,0.3001,146.3094,0.3668,275,0.2,-275,0.3921,0;0.5;0,0,145.9225,0.0,-413.0,-143.0,1,1
